statePostal	secondary	probability	mean	scale	office	dem	rep
AK		0.0656509722928951	NA	NA	ak-senate-class-ii-2014	mark-begich	joe-miller
AK		0.678529737495884	NA	NA	ak-senate-class-ii-2014	mark-begich	daniel-s-sullivan
AK		0.255819290211221	NA	NA	ak-senate-class-ii-2014	mark-begich	mead-treadwell
AL		1	-91.5253862679209	NA	al-senate-class-ii-2014	NA	jeff-sessions
AR		1	NA	NA	ar-senate-class-ii-2014	mark-pryor	thomas-cotton-1
CO		1	NA	NA	co-senate-class-ii-2014	mark-udall	cory-gardner
DE		0.0485586168626867	22.9389927825084	NA	de-senate-class-ii-2014	christopher-a-coons	tom-kovach
DE		0.951441383137313	25.2198815102621	NA	de-senate-class-ii-2014	christopher-a-coons	christine-o'donnell
GA		0.119941836724531	NA	NA	ga-senate-class-ii-2014	mary-michelle-nunn	paul-broun
GA		0.0972143376457817	NA	NA	ga-senate-class-ii-2014	mary-michelle-nunn	j-phillip-gingrey
GA		0.0375671018952862	NA	NA	ga-senate-class-ii-2014	mary-michelle-nunn	karen-handel
GA		0.291513539892637	NA	NA	ga-senate-class-ii-2014	mary-michelle-nunn	john-h-sr-rep-kingston
GA		0.453763183841764	NA	NA	ga-senate-class-ii-2014	mary-michelle-nunn	david-perdue
HI		0.41499001996008	33.034904037488	NA	hi-senate-class-iii-2014	colleen-hanabusa	campbell-cavasso
HI		0.58500998003992	35.4662477200088	NA	hi-senate-class-iii-2014	brian-schatz	campbell-cavasso
IA		0.0130335061826885	NA	NA	ia-senate-class-ii-2014	bruce-braley	samuel-clovis
IA		0.405374950139609	NA	NA	ia-senate-class-ii-2014	bruce-braley	joni-k-ernst
IA		0.570552453131232	NA	NA	ia-senate-class-ii-2014	bruce-braley	mark-jacobs
IA		0.0110390905464699	NA	NA	ia-senate-class-ii-2014	bruce-braley	matthew-george-matt-whitaker
ID		1	-42.8592661101542	NA	id-senate-class-ii-2014	nels-mitchell	jim-risch
IL		1	NA	NA	il-senate-class-ii-2014	richard-j-durbin	jim-oberweis
KS		0.978273453093812	NA	NA	ks-senate-class-ii-2014	chad-taylor	pat-roberts
KS		0.0217265469061876	NA	NA	ks-senate-class-ii-2014	chad-taylor	milton-wolf
KY		0.01124750499002	NA	NA	ky-senate-class-ii-2014	alison-lundergan-grimes	matthew-griswold-bevin
KY		0.98875249500998	NA	NA	ky-senate-class-ii-2014	alison-lundergan-grimes	mitch-mcconnell
LA		0.918645888724191	NA	NA	la-senate-class-ii-2014	mary-l-landrieu	william-cassidy
LA		0.0813541112758088	NA	NA	la-senate-class-ii-2014	mary-l-landrieu	robert-l-colonel-maness
MA		0.0463685894996927	24.933560774934	NA	ma-senate-class-ii-2014	edward-j-markey	brian-herr
