office	date	dem
ak-senate-class-ii-2014	1-Jan-14	57.0417515099241
ak-senate-class-ii-2014	6-Jan-14	56.5844370033273
ak-senate-class-ii-2014	10-Jan-14	56.7057128740282
ak-senate-class-ii-2014	15-Jan-14	57.2171799651389
ak-senate-class-ii-2014	20-Jan-14	54.9364217000322
ak-senate-class-ii-2014	24-Jan-14	44.5580532271516
ak-senate-class-ii-2014	29-Jan-14	38.7026038130454
ak-senate-class-ii-2014	3-Feb-14	49.6355326472959
ak-senate-class-ii-2014	8-Feb-14	49.9015469595774
ak-senate-class-ii-2014	12-Feb-14	50.5777334004397
ak-senate-class-ii-2014	17-Feb-14	51.0514381972549
ak-senate-class-ii-2014	22-Feb-14	51.3882353001723
ak-senate-class-ii-2014	26-Feb-14	51.3484433648038
ak-senate-class-ii-2014	3-Mar-14	51.700149835649
ak-senate-class-ii-2014	8-Mar-14	52.1030607163967
ak-senate-class-ii-2014	12-Mar-14	52.5719855247498
ak-senate-class-ii-2014	17-Mar-14	52.6949571026086
ak-senate-class-ii-2014	22-Mar-14	49.1535049704059
ak-senate-class-ii-2014	26-Mar-14	49.1751114517438
ak-senate-class-ii-2014	31-Mar-14	48.5957939622375
ak-senate-class-ii-2014	5-Apr-14	48.9081155622038
ak-senate-class-ii-2014	9-Apr-14	48.8410394018872
ak-senate-class-ii-2014	14-Apr-14	49.1129147651355
ak-senate-class-ii-2014	19-Apr-14	49.2692640727293
ak-senate-class-ii-2014	24-Apr-14	49.4246130732595
ak-senate-class-ii-2014	28-Apr-14	49.4660941205523
ak-senate-class-ii-2014	3-May-14	49.4331874584424
ak-senate-class-ii-2014	8-May-14	49.8164093143275
ak-senate-class-ii-2014	12-May-14	49.7814159773099
ak-senate-class-ii-2014	17-May-14	50.3372506793859
al-senate-class-ii-2014	1-Jan-14	2.80795253085888e-09
al-senate-class-ii-2014	6-Jan-14	3.01250067821377e-09
al-senate-class-ii-2014	10-Jan-14	2.84589072245172e-09
al-senate-class-ii-2014	15-Jan-14	2.89668517979675e-09
al-senate-class-ii-2014	20-Jan-14	2.67091631513031e-09
al-senate-class-ii-2014	24-Jan-14	3.53570871780868e-09
al-senate-class-ii-2014	29-Jan-14	2.25028270529787e-09
al-senate-class-ii-2014	3-Feb-14	8.58103963322237e-10
al-senate-class-ii-2014	8-Feb-14	7.56064545919179e-10
al-senate-class-ii-2014	12-Feb-14	9.34951620876364e-10
al-senate-class-ii-2014	17-Feb-14	1.02294017624565e-09
al-senate-class-ii-2014	22-Feb-14	9.95098775495133e-10
al-senate-class-ii-2014	26-Feb-14	8.13993129694582e-10
al-senate-class-ii-2014	3-Mar-14	7.22994422334089e-10
al-senate-class-ii-2014	8-Mar-14	5.5873501605403e-10
al-senate-class-ii-2014	12-Mar-14	5.98391858943778e-10
al-senate-class-ii-2014	17-Mar-14	5.35074529024831e-10
al-senate-class-ii-2014	22-Mar-14	4.04613871472807e-10
al-senate-class-ii-2014	26-Mar-14	4.33103058230009e-10
al-senate-class-ii-2014	31-Mar-14	5.86355310839597e-10
al-senate-class-ii-2014	5-Apr-14	5.69976613804604e-10
al-senate-class-ii-2014	9-Apr-14	4.09222813269293e-10
al-senate-class-ii-2014	14-Apr-14	4.11344215402516e-10
al-senate-class-ii-2014	19-Apr-14	4.04676130886277e-10
al-senate-class-ii-2014	24-Apr-14	4.20383208431013e-10
al-senate-class-ii-2014	28-Apr-14	4.2305683646757e-10
al-senate-class-ii-2014	3-May-14	3.89198338739894e-10
al-senate-class-ii-2014	8-May-14	4.20943075016193e-10
al-senate-class-ii-2014	12-May-14	4.04598377869367e-10
al-senate-class-ii-2014	17-May-14	5.53737799450104e-10
ar-senate-class-ii-2014	1-Jan-14	30.7570580665779
ar-senate-class-ii-2014	6-Jan-14	30.2682803971275
ar-senate-class-ii-2014	10-Jan-14	30.3021661274446
ar-senate-class-ii-2014	15-Jan-14	30.6430082972292
ar-senate-class-ii-2014	20-Jan-14	28.6355714388784
ar-senate-class-ii-2014	24-Jan-14	29.5698386758397
ar-senate-class-ii-2014	29-Jan-14	27.5890608090963
ar-senate-class-ii-2014	3-Feb-14	26.9532108228588
ar-senate-class-ii-2014	8-Feb-14	26.1614220783941
ar-senate-class-ii-2014	12-Feb-14	24.3757673980119
ar-senate-class-ii-2014	17-Feb-14	24.4524997511337
ar-senate-class-ii-2014	22-Feb-14	25.5863609098465
ar-senate-class-ii-2014	26-Feb-14	25.2568649932835
ar-senate-class-ii-2014	3-Mar-14	25.057427124142
ar-senate-class-ii-2014	8-Mar-14	24.7956251458428
ar-senate-class-ii-2014	12-Mar-14	24.714457227108
ar-senate-class-ii-2014	17-Mar-14	24.3204992243952
ar-senate-class-ii-2014	22-Mar-14	23.4030615218164
ar-senate-class-ii-2014	26-Mar-14	23.1391779803856
ar-senate-class-ii-2014	31-Mar-14	22.1329724101988
ar-senate-class-ii-2014	5-Apr-14	21.9418971776203
ar-senate-class-ii-2014	9-Apr-14	32.6123128513383
ar-senate-class-ii-2014	14-Apr-14	40.9116977163244
ar-senate-class-ii-2014	19-Apr-14	45.3986162804715
ar-senate-class-ii-2014	24-Apr-14	45.8510221157188
ar-senate-class-ii-2014	28-Apr-14	46.1714462269476
ar-senate-class-ii-2014	3-May-14	46.6115985918848
ar-senate-class-ii-2014	8-May-14	47.3381236247423
ar-senate-class-ii-2014	12-May-14	47.8498997731074
ar-senate-class-ii-2014	17-May-14	48.847987211119
co-senate-class-ii-2014	1-Jan-14	88.1463466148293
co-senate-class-ii-2014	6-Jan-14	87.7081056303222
co-senate-class-ii-2014	10-Jan-14	87.5010238586588
co-senate-class-ii-2014	15-Jan-14	87.2989984287132
co-senate-class-ii-2014	20-Jan-14	85.5442480153903
co-senate-class-ii-2014	24-Jan-14	85.5472823746382
co-senate-class-ii-2014	29-Jan-14	84.9129771630005
co-senate-class-ii-2014	3-Feb-14	87.5641304207482
co-senate-class-ii-2014	8-Feb-14	87.0979444399602
co-senate-class-ii-2014	12-Feb-14	87.2447559528792
co-senate-class-ii-2014	17-Feb-14	87.1445566686123
co-senate-class-ii-2014	22-Feb-14	87.1095111192312
co-senate-class-ii-2014	26-Feb-14	86.8359363822565
co-senate-class-ii-2014	3-Mar-14	69.9875414196007
co-senate-class-ii-2014	8-Mar-14	69.8625781158557
co-senate-class-ii-2014	12-Mar-14	70.8186794062716
co-senate-class-ii-2014	17-Mar-14	68.222598835061
co-senate-class-ii-2014	22-Mar-14	66.9952821910333
co-senate-class-ii-2014	26-Mar-14	67.0382119351383
co-senate-class-ii-2014	31-Mar-14	65.9457709894989
co-senate-class-ii-2014	5-Apr-14	66.2058538168834
co-senate-class-ii-2014	9-Apr-14	66.2692970984371
co-senate-class-ii-2014	14-Apr-14	66.5446270538123
co-senate-class-ii-2014	19-Apr-14	69.5662882032239
co-senate-class-ii-2014	24-Apr-14	69.7411888818183
co-senate-class-ii-2014	28-Apr-14	69.838368391953
co-senate-class-ii-2014	3-May-14	69.977888461058
co-senate-class-ii-2014	8-May-14	70.3297299916653
co-senate-class-ii-2014	12-May-14	70.588220690034
co-senate-class-ii-2014	17-May-14	71.0332974453029
de-senate-class-ii-2014	1-Jan-14	97.3265427375563
de-senate-class-ii-2014	6-Jan-14	97.2492160251758
de-senate-class-ii-2014	10-Jan-14	97.2136596714072
