date	dem
1-Jan-14	61.43
6-Jan-14	59.924
10-Jan-14	59.036
15-Jan-14	57.498
20-Jan-14	51.652
24-Jan-14	49.754
29-Jan-14	45.378
3-Feb-14	50.072
8-Feb-14	50.038
12-Feb-14	50.162
17-Feb-14	49.87
22-Feb-14	50.588
26-Feb-14	48.13
3-Mar-14	46.816
8-Mar-14	47.78
12-Mar-14	48.68
17-Mar-14	48.794
22-Mar-14	47.292
26-Mar-14	47.836
31-Mar-14	46.128
5-Apr-14	46.688
9-Apr-14	48.614
14-Apr-14	50.192
19-Apr-14	50.534
24-Apr-14	50.54
28-Apr-14	50.018
3-May-14	50.11
8-May-14	50.846
12-May-14	50.75
17-May-14	52.148
4-Jul-14	52.39
